date,elevation
2020-1-1 00:00,432.56
2020-1-2 00:00,432.58
2020-1-3 00:00,432.6
2020-1-4 00:00,432.6
2020-1-5 00:00,432.62
2020-1-6 00:00,432.63
2020-1-7 00:00,432.65
2020-1-8 00:00,432.62
2020-1-9 00:00,432.65
2020-1-10 00:00,432.65
2020-1-11 00:00,432.65
2020-1-12 00:00,432.63
2020-1-13 00:00,432.65
2020-1-14 00:00,432.66
2020-1-15 00:00,432.64
2020-1-16 00:00,432.73
2020-1-17 00:00,432.8
2020-1-18 00:00,432.82
2020-1-19 00:00,432.81
2020-1-20 00:00,432.86
2020-1-21 00:00,432.89
2020-1-22 00:00,432.94
2020-1-23 00:00,432.99
2020-1-24 00:00,433.01
2020-1-25 00:00,433.06
2020-1-26 00:00,433.07
2020-1-27 00:00,433.09
2020-1-28 00:00,433.12
2020-1-29 00:00,433.14
2020-1-30 00:00,433.16
2020-1-31 00:00,433.17
2020-2-1 00:00,433.2
2020-2-2 00:00,433.19
2020-2-3 00:00,433.18
2020-2-4 00:00,433.16
2020-2-5 00:00,433.18
2020-2-6 00:00,433.18
2020-2-7 00:00,433.19
2020-2-8 00:00,433.19
2020-2-9 00:00,433.18
2020-2-10 00:00,433.17
2020-2-11 00:00,433.16
2020-2-12 00:00,433.19
2020-2-13 00:00,433.17
2020-2-14 00:00,433.17
2020-2-15 00:00,433.15
2020-2-16 00:00,433.17
2020-2-17 00:00,433.15
2020-2-18 00:00,433.15
2020-2-19 00:00,433.15
2020-2-20 00:00,433.14
2020-2-21 00:00,433.15
2020-2-22 00:00,433.15
2020-2-23 00:00,433.15
2020-2-24 00:00,433.14
2020-2-25 00:00,433.13
2020-2-26 00:00,433.12
2020-2-27 00:00,433.12
2020-2-28 00:00,433.12
2020-2-29 00:00,433.11
2020-3-1 00:00,433.07
2020-3-2 00:00,433.08
2020-3-3 00:00,433.05
2020-3-4 00:00,433.04
2020-3-5 00:00,433.03
2020-3-6 00:00,433.01
2020-3-7 00:00,433.0
2020-3-8 00:00,432.99
2020-3-9 00:00,432.96
2020-3-10 00:00,432.93
2020-3-11 00:00,432.92
2020-3-12 00:00,432.9
2020-3-13 00:00,432.88
2020-3-14 00:00,432.84
2020-3-15 00:00,432.85
2020-3-16 00:00,432.83
2020-3-17 00:00,432.81
2020-3-18 00:00,432.8
2020-3-19 00:00,432.79
2020-3-20 00:00,432.76
2020-3-21 00:00,432.72
2020-3-22 00:00,432.71
2020-3-23 00:00,432.69
2020-3-24 00:00,432.67
2020-3-25 00:00,432.67
2020-3-26 00:00,432.64
2020-3-27 00:00,432.61
2020-3-28 00:00,432.58
2020-3-29 00:00,432.54
2020-3-30 00:00,432.52
2020-3-31 00:00,432.5
2020-4-1 00:00,432.45
2020-4-2 00:00,432.41
2020-4-3 00:00,432.38
2020-4-4 00:00,432.37
2020-4-5 00:00,432.37
2020-4-6 00:00,432.39
2020-4-7 00:00,432.38
2020-4-8 00:00,432.4
2020-4-9 00:00,432.35
2020-4-10 00:00,432.32
2020-4-11 00:00,432.32
2020-4-12 00:00,432.29
2020-4-13 00:00,432.24
2020-4-14 00:00,432.21
2020-4-15 00:00,432.18
2020-4-16 00:00,432.14
2020-4-17 00:00,432.13
2020-4-18 00:00,432.08
2020-4-19 00:00,432.02
2020-4-20 00:00,431.98
2020-4-21 00:00,431.97
2020-4-22 00:00,431.89
2020-4-23 00:00,431.86
2020-4-24 00:00,431.81
2020-4-25 00:00,431.79
2020-4-26 00:00,431.68
2020-4-27 00:00,431.64
2020-4-28 00:00,431.59
2020-4-29 00:00,431.53
2020-4-30 00:00,431.46
2020-5-1 00:00,431.4
2020-5-2 00:00,431.35
2020-5-3 00:00,431.29
2020-5-4 00:00,431.25
2020-5-5 00:00,431.2
2020-5-6 00:00,431.11
2020-5-7 00:00,431.06
2020-5-8 00:00,431.0
2020-5-9 00:00,430.95
2020-5-10 00:00,430.88
2020-5-11 00:00,430.85
2020-5-12 00:00,430.75
2020-5-13 00:00,430.72
2020-5-14 00:00,430.67
2020-5-15 00:00,430.6
2020-5-16 00:00,430.52
2020-5-17 00:00,430.52
2020-5-18 00:00,430.49
2020-5-19 00:00,430.42
2020-5-20 00:00,430.37
2020-5-21 00:00,430.32
2020-5-22 00:00,430.24
2020-5-23 00:00,430.18
2020-5-24 00:00,430.14
2020-5-25 00:00,430.09
2020-5-26 00:00,430.03
2020-5-27 00:00,429.97
2020-5-28 00:00,429.9
2020-5-29 00:00,429.85
2020-5-30 00:00,429.74
2020-5-31 00:00,429.72
2020-6-1 00:00,429.63
2020-6-2 00:00,429.56
2020-6-3 00:00,429.48
2020-6-4 00:00,429.41
2020-6-5 00:00,429.31
2020-6-6 00:00,429.21
2020-6-7 00:00,429.12
2020-6-8 00:00,429.02
2020-6-9 00:00,428.96
2020-6-10 00:00,428.89
2020-6-11 00:00,428.79
2020-6-12 00:00,428.73
2020-6-13 00:00,428.62
2020-6-14 00:00,428.57
2020-6-15 00:00,428.48
2020-6-16 00:00,428.39
2020-6-17 00:00,428.28
2020-6-18 00:00,428.22
2020-6-19 00:00,428.14
2020-6-20 00:00,428.06
2020-6-21 00:00,427.98
2020-6-22 00:00,427.91
2020-6-23 00:00,427.82
2020-6-24 00:00,427.74
2020-6-25 00:00,427.65
2020-6-26 00:00,427.6
2020-6-27 00:00,427.49
2020-6-28 00:00,427.4
2020-6-29 00:00,427.27
2020-6-30 00:00,427.2
2020-7-1 00:00,427.1
2020-7-2 00:00,427.0
2020-7-3 00:00,426.92
2020-7-4 00:00,426.82
2020-7-5 00:00,426.75
2020-7-6 00:00,426.64
2020-7-7 00:00,426.56
2020-7-8 00:00,426.42
2020-7-9 00:00,426.33
2020-7-10 00:00,426.25
2020-7-11 00:00,426.16
2020-7-12 00:00,426.06
2020-7-13 00:00,425.99
2020-7-14 00:00,425.89
2020-7-15 00:00,425.79
2020-7-16 00:00,425.7
2020-7-17 00:00,425.61
2020-7-18 00:00,425.53
2020-7-19 00:00,425.45
2020-7-20 00:00,425.36
2020-7-21 00:00,425.27
2020-7-22 00:00,425.13
2020-7-23 00:00,425.04
2020-7-24 00:00,424.97
2020-7-25 00:00,424.88
2020-7-26 00:00,424.78
2020-7-27 00:00,424.71
2020-7-28 00:00,424.62
2020-7-29 00:00,424.53
2020-7-30 00:00,424.44
2020-7-31 00:00,424.37
2020-8-1 00:00,424.28
2020-8-2 00:00,424.21
2020-8-3 00:00,424.12
2020-8-4 00:00,424.04
2020-8-5 00:00,423.93
2020-8-6 00:00,423.88
2020-8-7 00:00,423.81
2020-8-8 00:00,423.74
2020-8-9 00:00,423.68
2020-8-10 00:00,423.6
2020-8-11 00:00,423.52
2020-8-12 00:00,423.44
2020-8-13 00:00,423.36
2020-8-14 00:00,423.29
2020-8-15 00:00,423.22
2020-8-16 00:00,423.13
2020-8-17 00:00,423.1
2020-8-18 00:00,423.03
2020-8-19 00:00,422.96
2020-8-20 00:00,422.9
2020-8-21 00:00,422.81
2020-8-22 00:00,422.74
2020-8-23 00:00,422.68
2020-8-24 00:00,422.62
2020-8-25 00:00,422.54
2020-8-26 00:00,422.47
2020-8-27 00:00,422.4
2020-8-28 00:00,422.33
2020-8-29 00:00,422.26
2020-8-30 00:00,422.2
2020-8-31 00:00,422.14
2020-9-1 00:00,422.07
2020-9-2 00:00,422.0
2020-9-3 00:00,421.9
2020-9-4 00:00,421.82
2020-9-5 00:00,421.77
2020-9-6 00:00,421.71
2020-9-7 00:00,421.64
2020-9-8 00:00,421.56
2020-9-9 00:00,421.49
2020-9-10 00:00,421.43
2020-9-11 00:00,421.39
2020-9-12 00:00,421.32
2020-9-13 00:00,421.28
2020-9-14 00:00,421.24
2020-9-15 00:00,421.18
2020-9-16 00:00,421.13
2020-9-17 00:00,421.08
2020-9-18 00:00,421.04
2020-9-19 00:00,420.98
2020-9-20 00:00,420.94
2020-9-21 00:00,420.9
2020-9-22 00:00,420.83
2020-9-23 00:00,420.79
2020-9-24 00:00,420.7
2020-9-25 00:00,420.67
2020-9-26 00:00,420.63
2020-9-27 00:00,420.53
2020-9-28 00:00,420.52
2020-9-29 00:00,420.46
2020-9-30 00:00,420.43
2020-10-1 00:00,420.36
2020-10-2 00:00,420.32
2020-10-3 00:00,420.28
2020-10-4 00:00,420.24
2020-10-5 00:00,420.19
2020-10-6 00:00,420.16
2020-10-7 00:00,419.98
2020-10-8 00:00,419.91
2020-10-9 00:00,419.83
2020-10-10 00:00,419.82
2020-10-11 00:00,419.78
2020-10-12 00:00,419.73
2020-10-13 00:00,419.69
2020-10-14 00:00,419.65
2020-10-15 00:00,419.57
2020-10-16 00:00,419.53
2020-10-17 00:00,419.5
2020-10-18 00:00,419.45
2020-10-19 00:00,419.41
2020-10-20 00:00,419.38
2020-10-21 00:00,419.34
2020-10-22 00:00,419.24
2020-10-23 00:00,419.19
2020-10-24 00:00,419.14
2020-10-25 00:00,419.09
2020-10-26 00:00,418.96
2020-10-27 00:00,418.9
2020-10-28 00:00,418.9
2020-10-29 00:00,418.88
2020-10-30 00:00,418.86
2020-10-31 00:00,418.85
2020-11-1 00:00,418.86
2020-11-2 00:00,418.83
2020-11-3 00:00,418.82
2020-11-4 00:00,418.79
2020-11-5 00:00,418.8
2020-11-6 00:00,418.74
2020-11-7 00:00,418.72
2020-11-8 00:00,418.68
2020-11-9 00:00,418.66
2020-11-10 00:00,418.62
2020-11-11 00:00,418.6
2020-11-12 00:00,418.58
2020-11-13 00:00,418.55
2020-11-14 00:00,418.52
2020-11-15 00:00,418.5
2020-11-16 00:00,418.48
2020-11-17 00:00,418.47
2020-11-18 00:00,418.4
2020-11-19 00:00,418.39
2020-11-20 00:00,418.36
2020-11-21 00:00,418.35
2020-11-22 00:00,418.31
2020-11-23 00:00,418.3
2020-11-24 00:00,418.3
2020-11-25 00:00,418.29
2020-11-26 00:00,418.25
2020-11-27 00:00,418.22
2020-11-28 00:00,418.21
2020-11-29 00:00,418.17
2020-11-30 00:00,418.16
2020-12-1 00:00,418.15
2020-12-2 00:00,418.14
2020-12-3 00:00,418.13
2020-12-4 00:00,418.12
2020-12-5 00:00,418.11
2020-12-6 00:00,418.08
2020-12-7 00:00,418.05
2020-12-8 00:00,418.02
2020-12-9 00:00,418.01
2020-12-10 00:00,418.01
2020-12-11 00:00,417.99
2020-12-12 00:00,417.97
2020-12-13 00:00,418.0
2020-12-14 00:00,418.0
2020-12-15 00:00,418.0
2020-12-16 00:00,418.01
2020-12-17 00:00,418.01
2020-12-18 00:00,418.0
2020-12-19 00:00,417.99
2020-12-20 00:00,417.97
2020-12-21 00:00,417.99
2020-12-22 00:00,417.96
2020-12-23 00:00,417.93
2020-12-24 00:00,417.89
2020-12-25 00:00,417.93
2020-12-26 00:00,417.93
2020-12-27 00:00,417.9
2020-12-28 00:00,417.89
2020-12-29 00:00,417.88
2020-12-30 00:00,417.89
2020-12-31 00:00,417.85
2021-1-1 00:00,417.86
2021-1-2 00:00,417.85
2021-1-3 00:00,417.83
2021-1-4 00:00,417.89
2021-1-5 00:00,417.86
2021-1-6 00:00,417.89
2021-1-7 00:00,417.85
2021-1-8 00:00,417.87
2021-1-9 00:00,417.85
2021-1-10 00:00,417.84
2021-1-11 00:00,417.84
2021-1-12 00:00,417.81
2021-1-13 00:00,417.84
2021-1-14 00:00,417.84
2021-1-15 00:00,417.83
2021-1-16 00:00,417.83
2021-1-17 00:00,417.78
2021-1-18 00:00,417.75
2021-1-19 00:00,417.76
2021-1-20 00:00,417.75
2021-1-21 00:00,417.67
2021-1-22 00:00,417.7
2021-1-23 00:00,417.7
2021-1-24 00:00,417.68
2021-1-25 00:00,417.66
2021-1-26 00:00,417.59
2021-1-27 00:00,417.73
2021-1-28 00:00,417.87
2021-1-29 00:00,417.87
2021-1-30 00:00,417.89
2021-1-31 00:00,417.88
2021-2-1 00:00,417.9
2021-2-2 00:00,417.94
2021-2-3 00:00,417.96
2021-2-4 00:00,417.96
2021-2-5 00:00,417.96
2021-2-6 00:00,417.95
2021-2-7 00:00,417.94
2021-2-8 00:00,417.95
2021-2-9 00:00,417.93
2021-2-10 00:00,417.93
2021-2-11 00:00,417.95
2021-2-12 00:00,417.95
2021-2-13 00:00,417.91
2021-2-14 00:00,417.91
2021-2-15 00:00,417.92
2021-2-16 00:00,417.91
2021-2-17 00:00,417.9
2021-2-18 00:00,417.88
2021-2-19 00:00,417.88
2021-2-20 00:00,417.86
2021-2-21 00:00,417.87
2021-2-22 00:00,417.82
2021-2-23 00:00,417.84
2021-2-24 00:00,417.82
2021-2-25 00:00,417.79
2021-2-26 00:00,417.79
2021-2-27 00:00,417.76
2021-2-28 00:00,417.75
2021-3-1 00:00,417.71
2021-3-2 00:00,417.7
2021-3-3 00:00,417.69
2021-3-4 00:00,417.65
2021-3-5 00:00,417.69
2021-3-6 00:00,417.65
2021-3-7 00:00,417.61
2021-3-8 00:00,417.57
2021-3-9 00:00,417.61
2021-3-10 00:00,417.62
2021-3-11 00:00,417.61
2021-3-12 00:00,417.59
2021-3-13 00:00,417.56
2021-3-14 00:00,417.53
2021-3-15 00:00,417.5
2021-3-16 00:00,417.51
2021-3-17 00:00,417.5
2021-3-18 00:00,417.5
2021-3-19 00:00,417.5
2021-3-20 00:00,417.47
2021-3-21 00:00,417.45
2021-3-22 00:00,417.43
2021-3-23 00:00,417.37
2021-3-24 00:00,417.38
2021-3-25 00:00,417.34
2021-3-26 00:00,417.3
2021-3-27 00:00,417.27
2021-3-28 00:00,417.21
2021-3-29 00:00,417.16
2021-3-30 00:00,417.05
2021-3-31 00:00,417.02
2021-4-1 00:00,416.98
2021-4-2 00:00,416.92
2021-4-3 00:00,416.88
2021-4-4 00:00,416.81
2021-4-5 00:00,416.74
2021-4-6 00:00,416.67
2021-4-7 00:00,416.6
2021-4-8 00:00,416.53
2021-4-9 00:00,416.47
2021-4-10 00:00,416.4
2021-4-11 00:00,416.35
2021-4-12 00:00,416.29
2021-4-13 00:00,416.21
2021-4-14 00:00,416.1
2021-4-15 00:00,416.03
2021-4-16 00:00,415.97
2021-4-17 00:00,415.88
2021-4-18 00:00,415.82
2021-4-19 00:00,415.75
2021-4-20 00:00,415.73
2021-4-21 00:00,415.6
2021-4-22 00:00,415.55
2021-4-23 00:00,415.49
2021-4-24 00:00,415.45
2021-4-25 00:00,415.38
2021-4-26 00:00,415.32
2021-4-27 00:00,415.24
2021-4-28 00:00,415.18
2021-4-29 00:00,415.12
2021-4-30 00:00,415.04
2021-5-1 00:00,415.0
2021-5-2 00:00,414.92
2021-5-3 00:00,414.87
2021-5-4 00:00,414.81
2021-5-5 00:00,414.71
2021-5-6 00:00,414.64
2021-5-7 00:00,414.56
2021-5-8 00:00,414.47
2021-5-9 00:00,414.4
2021-5-10 00:00,414.33
2021-5-11 00:00,414.26
2021-5-12 00:00,414.18
2021-5-13 00:00,414.1
2021-5-14 00:00,414.01
2021-5-15 00:00,413.94
2021-5-16 00:00,413.86
2021-5-17 00:00,413.79
2021-5-18 00:00,413.69
2021-5-19 00:00,413.61
2021-5-20 00:00,413.5
2021-5-21 00:00,413.36
2021-5-22 00:00,413.31
2021-5-23 00:00,413.23
2021-5-24 00:00,413.17
2021-5-25 00:00,413.06
2021-5-26 00:00,412.99
2021-5-27 00:00,412.9
2021-5-28 00:00,412.83
2021-5-29 00:00,412.74
2021-5-30 00:00,412.65
2021-5-31 00:00,412.59
2021-6-1 00:00,412.51
2021-6-2 00:00,412.41
2021-6-3 00:00,412.32
2021-6-4 00:00,412.22
2021-6-5 00:00,412.15
2021-6-6 00:00,412.06
2021-6-7 00:00,411.94
2021-6-8 00:00,411.86
2021-6-9 00:00,411.76
2021-6-10 00:00,411.66
2021-6-11 00:00,411.61
2021-6-12 00:00,411.5
2021-6-13 00:00,411.44
2021-6-14 00:00,411.33
2021-6-15 00:00,411.24
2021-6-16 00:00,411.15
2021-6-17 00:00,411.06
2021-6-18 00:00,410.97
2021-6-19 00:00,410.89
2021-6-20 00:00,410.82
2021-6-21 00:00,410.72
2021-6-22 00:00,410.61
2021-6-23 00:00,410.51
2021-6-24 00:00,410.41
2021-6-25 00:00,410.31
2021-6-26 00:00,410.21
2021-6-27 00:00,410.13
2021-6-28 00:00,410.02
2021-6-29 00:00,409.92
2021-6-30 00:00,409.83
2021-7-1 00:00,409.72
2021-7-2 00:00,409.61
2021-7-3 00:00,409.52
2021-7-4 00:00,409.43
2021-7-5 00:00,409.33
2021-7-6 00:00,409.22
2021-7-7 00:00,409.1
2021-7-8 00:00,408.99
2021-7-9 00:00,408.9
2021-7-10 00:00,408.8
2021-7-11 00:00,408.7
2021-7-12 00:00,408.6
2021-7-13 00:00,408.5
2021-7-14 00:00,408.39
2021-7-15 00:00,408.26
2021-7-16 00:00,408.16
2021-7-17 00:00,408.08
2021-7-18 00:00,407.99
2021-7-19 00:00,407.91
2021-7-20 00:00,407.79
2021-7-21 00:00,407.71
2021-7-22 00:00,407.62
2021-7-23 00:00,407.53
2021-7-24 00:00,407.43
2021-7-25 00:00,407.36
2021-7-26 00:00,407.25
2021-7-27 00:00,407.13
2021-7-28 00:00,407.05
2021-7-29 00:00,406.95
2021-7-30 00:00,406.87
2021-7-31 00:00,406.73
2021-8-1 00:00,406.65
2021-8-2 00:00,406.55
2021-8-3 00:00,406.44
2021-8-4 00:00,406.36
2021-8-5 00:00,406.24
2021-8-6 00:00,406.16
2021-8-7 00:00,406.08
2021-8-8 00:00,406.03
2021-8-9 00:00,405.94
2021-8-10 00:00,405.86
2021-8-11 00:00,405.76
2021-8-12 00:00,405.67
2021-8-13 00:00,405.59
2021-8-14 00:00,405.53
2021-8-15 00:00,405.46
2021-8-16 00:00,405.36
2021-8-17 00:00,405.29
2021-8-18 00:00,405.18
2021-8-19 00:00,405.11
2021-8-20 00:00,405.05
2021-8-21 00:00,404.96
2021-8-22 00:00,404.9
2021-8-23 00:00,404.81
2021-8-24 00:00,404.73
2021-8-25 00:00,404.66
2021-8-26 00:00,404.6
2021-8-27 00:00,404.53
2021-8-28 00:00,404.46
2021-8-29 00:00,404.41
2021-8-30 00:00,404.32
2021-8-31 00:00,404.24
2021-9-1 00:00,404.16
2021-9-2 00:00,404.08
2021-9-3 00:00,404.03
2021-9-4 00:00,403.97
2021-9-5 00:00,403.93
2021-9-6 00:00,403.84
2021-9-7 00:00,403.76
2021-9-8 00:00,403.7
2021-9-9 00:00,403.62
2021-9-10 00:00,403.58
2021-9-11 00:00,403.52
2021-9-12 00:00,403.46
2021-9-13 00:00,403.38
2021-9-14 00:00,403.21
2021-9-15 00:00,403.14
2021-9-16 00:00,403.06
