date,elevation
2020-1-1 00:00,790.08
2020-1-2 00:00,790.34
2020-1-3 00:00,790.63
2020-1-4 00:00,790.87
2020-1-5 00:00,791.07
2020-1-6 00:00,791.23
2020-1-7 00:00,791.76
2020-1-8 00:00,791.86
2020-1-9 00:00,792.18
2020-1-10 00:00,792.43
2020-1-11 00:00,792.54
2020-1-12 00:00,792.58
2020-1-13 00:00,792.81
2020-1-14 00:00,793.15
2020-1-15 00:00,793.44
2020-1-16 00:00,793.73
2020-1-17 00:00,793.95
2020-1-18 00:00,794.02
2020-1-19 00:00,794.22
2020-1-20 00:00,794.47
2020-1-21 00:00,794.8
2020-1-22 00:00,795.32
2020-1-23 00:00,795.67
2020-1-24 00:00,795.95
2020-1-25 00:00,796.33
2020-1-26 00:00,797.67
2020-1-27 00:00,798.83
2020-1-28 00:00,799.69
2020-1-29 00:00,800.3
2020-1-30 00:00,800.74
2020-1-31 00:00,801.11
2020-2-1 00:00,801.69
2020-2-2 00:00,802.22
2020-2-3 00:00,802.65
2020-2-4 00:00,802.87
2020-2-5 00:00,803.09
2020-2-6 00:00,803.33
2020-2-7 00:00,803.46
2020-2-8 00:00,803.73
2020-2-9 00:00,804.09
2020-2-10 00:00,804.32
2020-2-11 00:00,804.5
2020-2-12 00:00,804.44
2020-2-13 00:00,804.57
2020-2-14 00:00,804.63
2020-2-15 00:00,804.87
2020-2-16 00:00,805.3
2020-2-17 00:00,805.53
2020-2-18 00:00,805.46
2020-2-19 00:00,805.46
2020-2-20 00:00,805.43
2020-2-21 00:00,805.43
2020-2-22 00:00,805.36
2020-2-23 00:00,805.49
2020-2-24 00:00,805.55
2020-2-25 00:00,805.55
2020-2-26 00:00,805.35
2020-2-27 00:00,805.21
2020-2-28 00:00,805.05
2020-2-29 00:00,805.29
2020-3-1 00:00,805.52
2020-3-2 00:00,805.51
2020-3-3 00:00,805.38
2020-3-4 00:00,805.23
2020-3-5 00:00,805.06
2020-3-6 00:00,805.06
2020-3-7 00:00,805.26
2020-3-8 00:00,805.43
2020-3-9 00:00,805.58
2020-3-10 00:00,805.53
2020-3-11 00:00,805.46
2020-3-12 00:00,805.26
2020-3-13 00:00,805.17
2020-3-14 00:00,805.4
2020-3-15 00:00,805.79
2020-3-16 00:00,805.94
2020-3-17 00:00,806.07
2020-3-18 00:00,806.16
2020-3-19 00:00,806.23
2020-3-20 00:00,806.39
2020-3-21 00:00,806.71
2020-3-22 00:00,807.03
2020-3-23 00:00,807.2
2020-3-24 00:00,807.43
2020-3-25 00:00,807.61
2020-3-26 00:00,807.79
2020-3-27 00:00,807.93
2020-3-28 00:00,808.12
2020-3-29 00:00,808.31
2020-3-30 00:00,808.6
2020-3-31 00:00,808.88
2020-4-1 00:00,809.25
2020-4-2 00:00,809.68
2020-4-3 00:00,810.07
2020-4-4 00:00,810.5
2020-4-5 00:00,811.21
2020-4-6 00:00,811.93
2020-4-7 00:00,812.55
2020-4-8 00:00,813.22
2020-4-9 00:00,813.92
2020-4-10 00:00,814.73
2020-4-11 00:00,815.56
2020-4-12 00:00,816.41
2020-4-13 00:00,817.16
2020-4-14 00:00,817.79
2020-4-15 00:00,818.45
2020-4-16 00:00,819.09
2020-4-17 00:00,819.7
2020-4-18 00:00,820.24
2020-4-19 00:00,820.77
2020-4-20 00:00,821.29
2020-4-21 00:00,821.71
2020-4-22 00:00,822.15
2020-4-23 00:00,822.64
2020-4-24 00:00,823.1
2020-4-25 00:00,823.63
2020-4-26 00:00,824.02
2020-4-27 00:00,824.46
2020-4-28 00:00,824.73
2020-4-29 00:00,825.14
2020-4-30 00:00,825.27
2020-5-1 00:00,825.26
2020-5-2 00:00,824.98
2020-5-3 00:00,824.66
2020-5-4 00:00,824.39
2020-5-5 00:00,824.03
2020-5-6 00:00,823.66
2020-5-7 00:00,823.38
2020-5-8 00:00,823.06
2020-5-9 00:00,822.77
2020-5-10 00:00,822.54
2020-5-11 00:00,822.3
2020-5-12 00:00,821.89
2020-5-13 00:00,821.44
2020-5-14 00:00,820.99
2020-5-15 00:00,820.64
2020-5-16 00:00,820.43
2020-5-17 00:00,820.67
2020-5-18 00:00,820.99
2020-5-19 00:00,821.21
2020-5-20 00:00,821.39
2020-5-21 00:00,821.62
2020-5-22 00:00,821.6
2020-5-23 00:00,821.41
2020-5-24 00:00,821.84
2020-5-25 00:00,821.96
2020-5-26 00:00,821.74
2020-5-27 00:00,821.4
2020-5-28 00:00,821.11
2020-5-29 00:00,820.71
2020-5-30 00:00,820.35
2020-5-31 00:00,820.25
2020-6-1 00:00,819.62
2020-6-2 00:00,819.04
2020-6-3 00:00,818.48
2020-6-4 00:00,817.92
2020-6-5 00:00,817.25
2020-6-6 00:00,816.53
2020-6-7 00:00,816.46
2020-6-8 00:00,815.9
2020-6-9 00:00,815.27
2020-6-10 00:00,814.62
2020-6-11 00:00,813.83
2020-6-12 00:00,813.14
2020-6-13 00:00,812.47
2020-6-14 00:00,812.41
2020-6-15 00:00,811.62
2020-6-16 00:00,810.63
2020-6-17 00:00,809.77
2020-6-18 00:00,808.73
2020-6-19 00:00,807.67
2020-6-20 00:00,806.67
2020-6-21 00:00,806.36
2020-6-22 00:00,805.76
2020-6-23 00:00,804.69
2020-6-24 00:00,803.76
2020-6-25 00:00,802.89
2020-6-26 00:00,801.92
2020-6-27 00:00,800.75
2020-6-28 00:00,800.45
2020-6-29 00:00,800.02
2020-6-30 00:00,798.92
2020-7-1 00:00,797.9
2020-7-2 00:00,796.91
2020-7-3 00:00,795.87
2020-7-4 00:00,794.87
2020-7-5 00:00,794.37
2020-7-6 00:00,793.36
2020-7-7 00:00,792.24
2020-7-8 00:00,791.12
2020-7-9 00:00,789.96
2020-7-10 00:00,788.77
2020-7-11 00:00,787.6
2020-7-12 00:00,787.27
2020-7-13 00:00,786.08
2020-7-14 00:00,784.93
2020-7-15 00:00,783.93
2020-7-16 00:00,782.85
2020-7-17 00:00,781.87
2020-7-18 00:00,780.8
2020-7-19 00:00,780.48
2020-7-20 00:00,779.49
2020-7-21 00:00,778.51
2020-7-22 00:00,777.62
2020-7-23 00:00,776.79
2020-7-24 00:00,775.81
2020-7-25 00:00,774.93
2020-7-26 00:00,774.64
2020-7-27 00:00,773.76
2020-7-28 00:00,772.79
2020-7-29 00:00,771.96
2020-7-30 00:00,771.21
2020-7-31 00:00,770.5
2020-8-1 00:00,769.4
2020-8-2 00:00,768.98
2020-8-3 00:00,768.51
2020-8-4 00:00,768.04
2020-8-5 00:00,766.92
2020-8-6 00:00,765.86
2020-8-7 00:00,764.62
2020-8-8 00:00,763.48
2020-8-9 00:00,762.98
2020-8-10 00:00,762.19
2020-8-11 00:00,761.46
2020-8-12 00:00,760.72
2020-8-13 00:00,760.03
2020-8-14 00:00,759.38
2020-8-15 00:00,758.99
2020-8-16 00:00,758.41
2020-8-17 00:00,757.51
2020-8-18 00:00,756.91
2020-8-19 00:00,756.31
2020-8-20 00:00,755.91
2020-8-21 00:00,755.49
2020-8-22 00:00,755.01
2020-8-23 00:00,754.86
2020-8-24 00:00,754.24
2020-8-25 00:00,753.83
2020-8-26 00:00,753.59
2020-8-27 00:00,753.31
2020-8-28 00:00,753.12
2020-8-29 00:00,753.25
2020-8-30 00:00,753.29
2020-8-31 00:00,752.97
2020-9-1 00:00,752.54
2020-9-2 00:00,751.76
2020-9-3 00:00,751.17
2020-9-4 00:00,751.3
2020-9-5 00:00,751.18
2020-9-6 00:00,751.05
2020-9-7 00:00,750.71
2020-9-8 00:00,750.15
2020-9-9 00:00,750.02
2020-9-10 00:00,749.89
2020-9-11 00:00,749.97
2020-9-12 00:00,749.89
2020-9-13 00:00,749.84
2020-9-14 00:00,749.83
2020-9-15 00:00,749.57
2020-9-16 00:00,749.37
2020-9-17 00:00,749.12
2020-9-18 00:00,748.8
2020-9-19 00:00,748.87
2020-9-20 00:00,748.97
2020-9-21 00:00,748.77
2020-9-22 00:00,748.48
2020-9-23 00:00,748.19
2020-9-24 00:00,747.78
2020-9-25 00:00,747.46
2020-9-26 00:00,747.28
2020-9-27 00:00,746.97
